number,title,writer,is_open,body,comments
1214,Memory leak of 150MB per proof,mitschabaude,open,"Reported on discord:
![image](https://github.com/o1-labs/o1js/assets/20989968/b828a051-3a6e-4948-b453-dc5791df3875)
https://discord.com/channels/484437221055922177/1168969852296376461/1169230889058848778","[('dfstio', ""It was tested using the code in https://github.com/dfstio/minanft-lib/blob/large-contract/test/nftupdate.test.ts; one can clone the branch large-contract of the repo and run\r\n```typescript\r\nyarn test nftupdate.test\r\n```\r\nThe last message before the process hung was:\r\n```\r\nconsole.log\r\n    Sending update...\r\n\r\n      at MinaNFT.commit (src/minanft.ts:411:13)\r\n\r\n  console.log\r\n    {\r\n      rss: '6580.5 MB -> Resident Set Size - total memory allocated for the process execution',\r\n      heapTotal: '940.09 MB -> total size of the allocated heap',\r\n      heapUsed: '882.47 MB -> actual memory used during the execution',\r\n      external: '47.01 MB -> V8 external memory'\r\n    }\r\n\r\n      at memory (test/nftupdate.test.ts:232:11)\r\n\r\n  console.log\r\n    Updating, iteration 17...\r\n\r\n      at Object.<anonymous> (test/nftupdate.test.ts:169:15)\r\n\r\n  console.log\r\n    Creating proofs...\r\n\r\n      at MinaNFT.generateProof (src/minanft.ts:475:13)\r\n```""), ('dfstio', ""On the first iterations, the RSS is 4444 MB:\r\n```\r\n console.log\r\n    Updating, iteration 2...\r\n\r\n      at Object.<anonymous> (test/nftupdate.test.ts:169:15)\r\n\r\n  console.log\r\n    Creating proofs...\r\n\r\n      at MinaNFT.generateProof (src/minanft.ts:475:13)\r\n\r\n  console.time\r\n    Proofs created: 95195 ms\r\n\r\n      at MinaNFT.generateProof (src/minanft.ts:504:13)\r\n\r\n  console.log\r\n    Commiting updates to blockchain...\r\n\r\n      at MinaNFT.commit (src/minanft.ts:388:13)\r\n\r\n  console.log\r\n    Sending update...\r\n\r\n      at MinaNFT.commit (src/minanft.ts:411:13)\r\n\r\n  console.log\r\n    {\r\n      rss: '4444.42 MB -> Resident Set Size - total memory allocated for the process execution',\r\n      heapTotal: '1119.06 MB -> total size of the allocated heap',\r\n      heapUsed: '1075.65 MB -> actual memory used during the execution',\r\n      external: '63.84 MB -> V8 external memory'\r\n    }\r\n\r\n      at memory (test/nftupdate.test.ts:232:11)\r\n\r\n  console.log\r\n    Updating, iteration 3...\r\n\r\n\r\n```"")]"
1213,Faster field inversions,mitschabaude,open,,[]
1212,Faster Field conversion,mitschabaude,open,,[]
1211,Remove Poseidon bottleneck,mitschabaude,open,,[]
1210,Passing MerkleWitnesses to ZKProgram causes a Stack_overflow compilation error when compiling the first,dfstio,open,"When trying to compile ZKProgram MapCalculation, the following error occurs:

```
thrown: Array [
      248,
      MlBytes {
        ""c"": ""Stack_overflow"",
        ""l"": 14,
        ""t"": 0,
      },
      -9,
    ]
```

The error is caused by MerkleMapWitness being passed as an argument.
However, if uncomment the line
```typescript
//await Key.compile();
```
the MapCalculation compiles without errors.
If you add some logic to the MapCalculation, errors always occur and do not disappear if MapCalculation compiles second.

The source code to reproduce the error:
```typescript
import { describe, expect, it } from ""@jest/globals"";
import {
  Field,
  SmartContract,
  state,
  State,
  method,
  Experimental,
  Struct,
  MerkleMapWitness,
} from ""o1js"";

jest.setTimeout(1000 * 60 * 60); // 1 hour

class Key extends SmartContract {
  @state(Field) key = State<Field>();

  @method mint(key: Field) {
    this.key.assertEquals(Field(0));
    this.key.set(key);
  }
}

class MapElement extends Struct({
  originalRoot: Field,
  redactedRoot: Field,
  key: Field,
  value: Field,
  originalWitness: MerkleMapWitness,
  redactedWitness: MerkleMapWitness,
}) {}

class MapState extends Struct({
  originalRoot: Field,
  redactedRoot: Field,
}) {
  static create(element: MapElement) {
    return new MapState({
      originalRoot: element.originalRoot,
      redactedRoot: element.redactedRoot,
    });
  }

  static assertEquals(state1: MapState, state2: MapState) {
    state1.originalRoot.assertEquals(state2.originalRoot);
    state1.redactedRoot.assertEquals(state2.redactedRoot);
  }
}

const MapCalculation = Experimental.ZkProgram({
  publicInput: MapState,

  methods: {
    create: {
      privateInputs: [MapElement],

      method(state: MapState, element: MapElement) {
        const computedState = MapState.create(element);
        MapState.assertEquals(computedState, state);
      },
    },
  },
});

describe(""Compile a contract"", () => {
  it(""should compile a contract"", async () => {
    //await Key.compile();
    await MapCalculation.compile();
  });
});
```",[]
1207,Enable compiling smart contracts along with all zkprograms it depends on,mitschabaude,open,"**Why**: Currently, `zk deploy` fails if the contract uses a ZkProgram. The goal of this issue is provide an o1js API that the zkapp-cli can use to compile a contract along with all ZkPrograms it depends on.

**How**: For example, add a new option `SmartContract.compile({ compileDependencies?: boolean })`. Figuring out the ZkProgram dependencies should happen automatically if this option is used.
","[('dfstio', 'The better solution would be to enable SmartContract to be compiled, having only the verification key string and publicInput/publicOutput data of the ZKProgram (for example, Proof.dummy can be renamed and extended to accept the verification key string).\r\n\r\nIt will allow for significant time and memory savings when the ZKProgram proof is being generated in one process (for example, on AWS lambda) and is being used as an argument when calling the SmartContract method in a web application.\r\n\r\nUsually, compilation of ZKProgram, especially with interactive proofs, takes longer than compilation of the SmartContract, and there is no need to force compilation of the ZKProgram in case proofs are not going to be generated, just consumed.'), ('mitschabaude', 'Great point, thanks @dfstio! Both options might be valuable -- provide the ZkProgram verification keys, or compile all dependencies. If the ZkProgram compilation is cached, the second option might be reasonably fast as well')]"
1206,Possibly support `proofsEnabled` in ZkProgram,mitschabaude,open,"![image](https://github.com/o1-labs/o1js/assets/20989968/fb6192f6-552e-4628-aece-6832cc81556f)
",[]
1205,Make every API that needs OCaml/Rust async instead of awaiting at the top level,mitschabaude,open,"The web version of o1js still has a fairly large unavoidable import time (~0.5s). This used to happen in the first asynchronous microtask (and leaked to users through `await isReady`) and is now happening immediately with top-level await.

To enable quicker loading as well as prepare for https://github.com/o1-labs/o1js/issues/1192, the big async task should be awaited inside the functions that need it, not at the top level. There are just a few of those functions which aren't already async:

* `Provable.runAndCheck()` and `runUnchecked()` -- mostly used as part of `Mina.transaction()` which is already async
* `SmartContract.analyzeMethods()`
* `Provable.constraintSystem()` -- mostly used in `analyzeMethods()`
* `Mina.LocalBlockchain()`",[]
1195,Implement FFadd and FFMul in large prime fields,mitschabaude,open,"Application: RSA, zk-email, zk JWTs

Note: This is similar to https://github.com/o1-labs/o1js/issues/1142 and https://github.com/o1-labs/o1js/issues/1180, but those issues will be done for foreign fields up to 259 bits. For RSA, we need much bigger fields with sizes of 2048 bits or similar.

For small fields, there are targeted `FFadd` and `FFmul` custom gates which do addition or multiplication in a single gate (1-2 rows) plus a few range checks on outputs.

However, for large fields we don't have such specific custom gates. This issue is about implementing big-field arithmetic _without_ additional custom gates, only using available primitives.

Primitives that could be useful:
* native addition and multiplication `Field.add`, `Field.mul`
* `Gadgets.rangeCheck64` already exposed in o1js
* 3x88-bit range check that will be exposed as part of #1142 or #1180
* Bigint addition on 3 x 88-bit limbs that'll be exposed as part of #1142
* Possibly the ffmul gadget that'll be exposed as part of #1180",[]
1192,Split out o1js/lite package which can be loaded quickly on the web,mitschabaude,open,"In fact, we want 3 packages:

* `lite` - This package should contain everything needed for defining smart contracts and o1js helpers, but not anything related to running circuits (snarky) or proving or compiling (kimchi, pickles).
* `prover` - Includes the OCaml/Rust crypto dependencies to enable proving and related methods
* `testing` - Includes `LocalBlockchain` and its massive OCaml dependencies. Nore: this is not typically a dependency needed in user-facing apps. Mostly needed for testing during development",[]
